City,Country,Lat,Lng,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date(dt)
pilar,BR,-9.6,-35.96,75.2,88,75,1.12,1591750991
kapaa,US,22.08,-159.32,84.2,70,40,16.11,1591750991
mount gambier,AU,-37.83,140.77,44.6,87,0,8.05,1591750991
san cristobal,VE,7.77,-72.22,86.0,48,75,21.92,1591750992
kaitangata,NZ,-46.28,169.85,55.51,58,15,12.06,1591750992
punta arenas,CL,-53.15,-70.92,35.6,80,42,2.24,1591750992
ushuaia,AR,-54.8,-68.3,35.6,80,40,5.82,1591750815
tezpur,IN,26.63,92.8,83.01,76,0,2.26,1591750695
balaipungut,ID,1.05,101.28,81.07,81,73,3.94,1591750993
del rio,US,29.36,-100.9,102.2,13,1,10.29,1591750867
luanda,AO,-8.84,13.23,75.2,83,40,8.05,1591750838
piranhas,BR,-16.43,-51.82,72.9,58,0,2.8,1591750993
butaritari,KI,3.07,172.79,82.76,77,9,13.82,1591750993
georgetown,MY,5.41,100.34,84.2,88,20,3.36,1591750870
lazaro cardenas,MX,17.96,-102.2,78.89,77,29,8.46,1591750943
qasigiannguit,GL,68.82,-51.19,37.4,74,100,3.36,1591750993
talnakh,RU,69.49,88.4,44.6,93,75,15.66,1591750994
albany,US,42.6,-73.97,73.99,50,0,4.0,1591750994
puerto ayora,EC,-0.74,-90.35,73.99,86,79,5.01,1591750994
chokurdakh,RU,70.63,147.92,39.43,73,100,13.96,1591750994
omboue,GA,-1.57,9.26,73.08,89,42,7.02,1591750994
kamenka,RU,51.32,42.77,62.01,86,0,5.97,1591750994
bambous virieux,MU,-20.34,57.76,71.6,73,75,16.11,1591750995
goderich,CA,43.75,-81.72,80.01,62,100,15.97,1591750853
atuona,PF,-9.8,-139.03,81.01,77,85,21.14,1591750995
khatanga,RU,71.97,102.5,53.53,39,23,13.11,1591750995
hermanus,ZA,-34.42,19.23,57.0,89,0,15.01,1591750995
tasiilaq,GL,65.61,-37.64,41.0,75,100,4.7,1591750995
pochutla,MX,15.74,-96.47,84.0,77,13,8.99,1591750995
madridejos,ES,39.47,-3.53,62.01,32,9,1.01,1591750996
airai,TL,-8.93,125.41,66.74,74,35,5.12,1591750996
yima,CN,34.74,111.88,77.32,56,1,3.8,1591750996
sitka,US,57.05,-135.33,59.0,47,90,4.7,1591750996
bluff,NZ,-46.6,168.33,55.0,78,47,10.0,1591750996
port hardy,CA,50.7,-127.42,55.4,87,90,12.75,1591750853
hamilton,US,39.18,-84.53,82.4,74,20,6.93,1591750805
avarua,CK,-21.21,-159.78,78.8,69,97,13.87,1591750901
aksay,RU,47.26,39.87,72.0,56,0,11.18,1591750997
rikitea,PF,-23.12,-134.97,76.26,81,1,11.14,1591750997
acapulco,MX,16.86,-99.89,84.2,70,75,6.93,1591750798
pisco,PE,-13.7,-76.22,64.4,82,90,11.41,1591750997
fortuna,US,40.6,-124.16,71.01,59,1,14.99,1591750997
faanui,PF,-16.48,-151.75,78.87,79,36,17.74,1591750997
kodiak,US,57.79,-152.41,48.2,87,90,6.93,1591750997
sao joao da barra,BR,-21.64,-41.05,72.05,89,0,9.37,1591750998
novikovo,RU,51.15,37.89,64.08,90,0,5.7,1591750998
xining,CN,36.62,101.77,58.68,45,21,2.89,1591750999
karratha,AU,-20.74,116.85,76.84,42,0,10.92,1591751000
castro,BR,-24.79,-50.01,62.04,95,74,6.2,1591750977
hithadhoo,MV,-0.6,73.08,83.53,72,100,8.08,1591751000
moose factory,CA,51.26,-80.61,44.6,70,75,10.29,1591751001
san antonio del norte,HN,13.88,-87.7,84.2,94,40,11.41,1591751002
vila franca do campo,PT,37.72,-25.43,62.6,77,20,4.7,1591751002
constitucion,CL,-35.33,-72.42,49.73,64,0,3.42,1591751015
kavieng,PG,-2.57,150.8,85.48,72,89,6.89,1591751015
ancud,CL,-41.87,-73.82,50.0,93,75,2.24,1591750955
maragogi,BR,-9.01,-35.22,75.74,87,0,4.85,1591751017
haines junction,CA,60.75,-137.51,67.32,24,0,1.74,1591751017
paragominas,BR,-2.97,-47.48,72.25,98,100,2.06,1591751017
coquimbo,CL,-29.95,-71.34,53.6,87,100,4.7,1591751017
asau,RO,46.43,26.4,55.99,90,41,1.9,1591751017
isangel,VU,-19.55,169.27,80.6,74,75,11.41,1591751018
bredasdorp,ZA,-34.53,20.04,44.6,93,0,4.52,1591751018
te anau,NZ,-45.42,167.72,52.72,63,23,9.08,1591751018
husavik,IS,66.04,-17.34,46.4,87,90,5.82,1591751018
ribeira grande,PT,38.52,-28.7,64.17,81,98,9.19,1591751018
port elizabeth,ZA,-33.92,25.57,66.2,45,10,4.7,1591750808
cockburn town,TC,21.46,-71.14,81.01,77,92,12.84,1591751018
mataura,NZ,-46.19,168.86,55.0,78,31,10.0,1591751018
vila velha,BR,-20.33,-40.29,71.6,88,0,3.36,1591750891
mar del plata,AR,-38.0,-57.56,48.99,80,0,6.93,1591750934
port alfred,ZA,-33.59,26.89,73.0,36,0,1.99,1591751019
lagoa,PT,39.05,-27.98,63.82,87,100,9.86,1591750983
tuktoyaktuk,CA,69.45,-133.04,48.2,70,90,8.05,1591751019
sorong,ID,-0.88,131.25,78.8,81,100,5.23,1591751019
arraial do cabo,BR,-22.97,-42.03,71.6,94,20,4.7,1591751019
yumen,CN,40.28,97.2,68.32,18,100,3.69,1591751020
kukuna,SL,9.4,-12.67,75.27,93,5,3.87,1591751020
coihaique,CL,-45.58,-72.07,39.2,60,90,5.82,1591751020
hilo,US,19.73,-155.09,82.4,69,90,8.05,1591750788
epe,NG,6.58,3.98,76.82,89,100,5.03,1591751020
surt,LY,31.21,16.59,71.28,78,97,7.45,1591751020
narsaq,GL,60.92,-46.05,55.4,54,75,24.16,1591750984
gimli,CA,50.63,-96.99,60.01,82,100,10.65,1591750862
mikhaylovsk,RU,45.13,42.03,64.4,52,80,4.47,1591751022
port lincoln,AU,-34.73,135.87,54.97,43,0,5.5,1591751022
nouadhibou,MR,20.93,-17.03,80.6,54,0,19.46,1591751023
dakar,SN,14.69,-17.44,77.0,94,40,4.7,1591750728
kenora,CA,49.82,-94.43,55.4,100,90,10.29,1591751023
leningradskiy,RU,69.38,178.42,64.11,35,82,9.75,1591751023
hailey,US,43.52,-114.32,66.2,32,75,6.93,1591751024
huarmey,PE,-10.07,-78.15,63.79,80,73,4.07,1591751024
luwuk,ID,-0.95,122.79,78.96,78,100,6.6,1591751024
qaanaaq,GL,77.48,-69.36,29.03,87,0,1.3,1591751024
areosa,PT,41.72,-8.86,61.0,87,65,11.14,1591751024
yerbogachen,RU,61.28,108.01,53.85,60,18,6.91,1591751024
souillac,MU,-20.52,57.52,71.6,73,75,16.11,1591751025
port blair,IN,11.67,92.75,83.05,78,100,17.67,1591751025
yellowknife,CA,62.46,-114.35,48.2,66,90,13.87,1591750858
naters,CH,46.33,7.99,39.0,94,99,2.73,1591751025
lorengau,PG,-2.02,147.27,85.24,75,93,6.51,1591751026
victoria,HK,22.29,114.16,86.0,74,20,9.17,1591750803
kudahuvadhoo,MV,2.67,72.89,83.23,78,78,10.0,1591751026
east london,ZA,-33.02,27.91,76.64,29,0,14.5,1591751026
huasahuasi,PE,-11.32,-75.62,38.34,100,37,1.05,1591751026
salym,RU,60.06,71.48,68.68,59,99,5.28,1591751026
puerto cabezas,NI,14.04,-83.39,80.96,83,1,7.83,1591751026
barrow,US,71.29,-156.79,32.0,81,90,8.05,1591751026
saint-francois,FR,46.42,3.91,54.0,76,94,5.82,1591751027
pingliang,CN,35.54,106.69,66.76,64,100,3.62,1591751027
dikson,RU,73.51,80.55,34.21,100,100,11.07,1591751027
vaini,TO,-21.2,-175.2,77.0,88,75,8.05,1591751027
carnarvon,AU,-24.87,113.63,70.92,32,0,3.0,1591751027
lannion,FR,48.75,-3.42,51.8,93,100,3.36,1591751028
chabahar,IR,25.29,60.64,83.73,85,0,2.62,1591751028
bestobe,KZ,52.5,73.1,66.96,64,58,4.29,1591751028
cape coast,GH,5.11,-1.25,78.46,86,100,13.33,1591751028
adoni,IN,15.63,77.28,80.82,65,98,14.76,1591751028
kahului,US,20.89,-156.47,89.6,46,20,20.8,1591751028
luderitz,NA,-26.65,15.16,57.87,89,38,11.92,1591751029
ballina,AU,-28.87,153.57,66.2,88,93,9.17,1591751029
shirokiy,RU,49.76,129.52,67.37,66,0,11.3,1591751029
cape town,ZA,-33.93,18.42,59.0,87,75,23.04,1591750921
vincennes,FR,48.85,2.43,55.0,81,49,3.36,1591751029
lata,PT,40.16,-8.33,60.01,83,43,1.23,1591751029
